"WISKI_STATION_NO","WISKI_EQUIS_ID","WU_SYS_ID","WID","EQUIS_STATION_ID"
W03189014,,59328368,"04010201-884",S017-270
H03189001,,59328368,"04010201-884",S017-272
H03189002,,59328368,"04010201-884",S017-272
W03190004,,59328332,"04010201-848",S017-277
H21018001,,59332532,"07010207-509",S017-288
H21021001,S002-955,59332532,"07010207-509",S017-288
E10082002,,74051199,"07010104-656",S017-287
W03166008,,59328066,"04010201-543",S017-309
H39017001,S002-530,59335959,"07040002-520",S017-311
W02039033,,59327512,"04010102-543",S017-317
H02039003,,59327512,"04010102-543",S017-317
W02039033,,59327512,"04010102-543",S017-319
W02039019,,59327856,"04010102-B57",S017-318
W02039006,,59327512,"04010102-543",S017-316
W02039016,,59327512,"04010102-543",S017-316
W02039027,,59327512,"04010102-543",S017-315
W02039033,,59327512,"04010102-543",S017-315
E24020002,,59332884,"07020003-505",S017-328
H24018001,,59332884,"07020003-505",S017-328
W41049002,,59337248,"07040004-507",S017-324
W77064001,,59342217,"09030006-517",S017-410
E20093001,,59332224,"07010206-539",S017-413
W03175002,,59328152,"04010201-629",S017-415
W03175009,S007-054,59328152,"04010201-629",S017-415
W68018001,,72730665,"09020309-539",S017-433
H41046001,S004-452,59337283,"07040004-542",S017-438
W41046002,,59337283,"07040004-542",S017-438
H14005004,,59331060,"07010108-520",S017-442
H70021002,S016-642,59341062,"09020312-504",S016-642
W72047007,,76802762,"09030001-986",S016-798
W03153004,S007-043,59328102,"04010201-579",S016-799
H03153001,S002-594,59328102,"04010201-579",S016-799
W42002002,S008-435,76961046,"07040006-576",S016-725
W42002003,,76961046,"07040006-576",S016-725
W42002004,,76961046,"07040006-576",S016-725
E72090001,,66193914,"09030001-808",S016-797
W03189014,,59328368,"04010201-884",S017-462
H25047002,S006-138,77438738,"07020004-769",S017-493
W31021002,,59334073,"07020010-517",S017-498
W61011002,S006-559,78004487,"09020301-559",S003-141
H18051001,S001-502,59331920,"07010204-585",S001-166
W18051005,,59331920,"07010204-585",S001-166
W18021003,,59332132,"07010204-502",S000-050
E28042001,,76595467,"07020007-723",S000-167
W43011002,,59337856,"07040008-501",S000-065
W17011004,S003-413,59331692,"07010203-549",S003-411
W17011003,,59331692,"07010203-549",S003-414
E38009001,,59335717,"07040001-531",S000-132
E38009001,,59335717,"07040001-531",S001-167
H36038001,S003-528,59334966,"07030004-551",S002-677
W57008002,,59340124,"09020104-520",S001-061
W36062001,,59335247,"07030004-513",S003-641
H57026001,S002-097,76957219,"09020104-544",S003-662
H02020001,S003-669,59327537,"04010102-840",S003-669
W02021003,,59327544,"04010102-847",S003-668
H03173011,,59328160,"04010201-636",S003-611
H09075001,S002-628,59330416,"07010103-518",S003-612
W17008005,,59331654,"07010203-511",S003-582
W38027006,,59335692,"07040001-507",S000-302
H38027008,,59335692,"07040001-507",S000-302
E33143004,S000-MNR,59334631,"07020012-505",S000-310
W33119001,S005-129,59334631,"07020012-505",S000-311
W33122003,S004-109,59334631,"07020012-505",S000-311
W33119001,S005-129,59334631,"07020012-505",S000-313
E22010002,,76595422,"07020001-552",S000-316
E22010002,,76595422,"07020001-552",S000-317
E33120001,,76716512,"07020012-809",S000-318
W33120002,S007-901,76716512,"07020012-809",S000-318
E16058004,,59331332,"07010202-501",S000-445
H40017001,S000-451,59336245,"07040003-554",S000-451
W40017004,S012-277,59336245,"07040003-554",S000-451
E41063001,,59337248,"07040004-507",S000-331
W19038001,,68226607,"07010205-638",S000-458
W19043002,S007-617,68226607,"07010205-638",S000-461
H19057001,S000-466,68226607,"07010205-638",S000-461
W19043002,S007-617,68226607,"07010205-638",S000-462
E16036003,S004-625,59331335,"07010202-503",S003-871
H32076001,S003-860,59334456,"07020011-507",S003-860
H32079001,S003-448,59334456,"07020011-507",S003-860
E04042001,,59328839,"04010202-501",S003-863
W04045005,,59328839,"04010202-501",S003-863
W41006002,S005-741,68390251,"07040004-971",S003-819
W02040001,,59327514,"04010102-545",S003-821
W02040010,,59327514,"04010102-545",S003-821
H43073002,,59337904,"07040008-548",S003-824
W41060001,S005-422,59337244,"07040004-503",S003-825
W03164003,,59328064,"04010201-541",S003-826
W03464011,S011-071,59328064,"04010201-541",S003-826
H16036002,S014-892,59331335,"07010202-503",S003-870
W02036004,,59327518,"04010102-549",S003-839
W02036007,,59327518,"04010102-549",S003-839
H12033001,S003-851,59330845,"07010106-540",S003-852
W41046004,,59337283,"07040004-542",S003-811
E20114001,,59332224,"07010206-539",S003-742
W07093001,,59329589,"07010101-548",S003-921
W14016001,S007-433,59331045,"07010108-505",S003-924
W14042002,S007-434,59331045,"07010108-505",S003-924
E16036003,S004-625,59331335,"07010202-503",S003-872
H16002002,,59331335,"07010202-503",S003-872
E16036002,,77447671,"07010202-743",S003-874
E66073001,S003-498,59341108,"09020305-539",S003-570
W39103007,S006-672,59335981,"07040002-542",S003-487
H37034001,,59335462,"07030005-570",S003-471
H32076001,S003-860,59334456,"07020011-507",S003-448
H33137002,S004-898,59334640,"07020012-513",S003-450
W15010001,S003-457,59331499,"07010201-528",S003-457
E68031002,S003-101,59341261,"09020309-504",S003-101
E58059001,S003-152,59553718,"09020106-595",S003-149
E66041001,S002-124,76797827,"09020305-648",S003-098
W55039001,S003-118,77835377,"09020102-590",S003-118
L78002400,,59339949,"09020101-503",S003-119
E66057002,S009-392,59340782,"09020305-518",S003-126
H56028001,,77131737,"09020103-767",S000-474
H10065001,,59330660,"07010104-502",S000-479
H10065003,S001-994,59330660,"07010104-502",S000-479
H16038002,S002-655,59331340,"07010202-507",S000-373
E57028001,S000-011,76957219,"09020104-544",S000-378
W16058003,,59331332,"07010202-501",S000-504
H16044001,S000-366,59331337,"07010202-505",S000-366
W33143006,S005-068,59334631,"07020012-505",S000-733
W33143012,S000-310,59334631,"07020012-505",S000-733
E22007001,S004-649,76595436,"07020004-747",S000-740
W40029002,,59336233,"07040003-542",S000-832
W40029004,,59336233,"07040003-542",S000-832
W76027001,,59341951,"09030005-502",S000-870
H08060002,,59330045,"07010102-526",S000-857
W01021002,,59326645,"04010101-528",S000-863
W01021004,,59326645,"04010101-528",S000-863
H18054001,S000-847,77299839,"07010204-749",S000-897
W51011002,S000-481,59339578,"07100001-501",S000-905
W51107001,,59339578,"07100001-501",S000-905
W80010004,,59342418,"09030009-501",S000-908
H26012001,S000-898,59333621,"07020005-523",S000-928
W43026001,S000-932,59337871,"07040008-516",S000-932
W43026001,S000-932,59337871,"07040008-516",S000-933
W09044003,S000-939,59330437,"07010103-539",S000-937
W09044003,S000-939,59330437,"07010103-539",S000-938
W37027001,,59335438,"07030005-546",S000-941
H03188002,,59328282,"04010201-523",S000-628
H82035001,S000-646,59343091,"10170203-527",S000-646
H48056001,,59339037,"07080201-503",S000-789
W28057002,,72847915,"07020007-677",S000-677
H83016001,S005-381,59342762,"10170204-509",S000-690
W83016003,S000-014,59342762,"10170204-509",S000-690
W48019002,,59339056,"07080201-522",S000-808
H66029002,,59340791,"09020305-527",S000-712
H48023002,,59339037,"07080201-503",S000-719
H41043001,S004-384,59337242,"07040004-501",S000-816
W41031003,S003-772,59337243,"07040004-502",S000-818
W40029002,,59336233,"07040003-542",S000-828
W27043004,,59333867,"07020006-513",S000-695
H61006002,S003-136,78004493,"09020301-561",S000-706
H10065002,S001-996,59330660,"07010104-502",S001-057
H10065001,,59330660,"07010104-502",S001-059
W39098002,,59335996,"07040002-557",S001-444
H18077002,,59331899,"07010204-564",S001-620
W38004002,S004-004,59335704,"07040001-518",S001-453
W38004006,,59335704,"07040001-518",S001-453
E66008004,S003-382,59340781,"09020305-517",S001-459
W66021003,,76801414,"09020305-653",S001-460
W76058006,,59341974,"09030005-525",S001-463
W76058009,,59341974,"09030005-525",S001-463
W76058010,,59341974,"09030005-525",S001-463
E21059003,,59332565,"07010207-542",S001-465
H21003001,S001-283,59332570,"07010207-547",S001-467
W76020001,,59341954,"09030005-505",S001-473
W39110001,,59335967,"07040002-528",S001-670
H15009001,,74052651,"07010201-631",S001-678
E27035001,S001-679,59333863,"07020006-509",S001-679
H23049001,,59333095,"07020002-501",S001-710
W23049002,S005-650,59333095,"07020002-501",S001-710
W23007004,S004-580,59333095,"07020002-501",S001-725
W51012001,,59339601,"07100001-524",S001-736
E40024001,,59336201,"07040003-512",S001-743
W40024006,S001-743,59336201,"07040003-512",S001-743
W02035021,,59327477,"04010102-508",S001-755
H24018001,,59332884,"07020003-505",S001-773
W39112001,,59335967,"07040002-528",S001-786
W31020002,S001-078,59334058,"07020010-502",S001-079
E27043002,S003-702,59333856,"07020006-502",S001-200
W27043004,,59333867,"07020006-513",S001-205
H39021001,,59335942,"07040002-504",S001-244
E18087001,,59332132,"07010204-502",S001-254
W43073001,,59337904,"07040008-548",S003-690
H58033002,S000-174,59340161,"09020106-501",S003-693
H58057002,,59340162,"09020106-502",S003-694
E24023001,S003-087,59332880,"07020003-501",S003-675
E09064001,S003-656,74050586,"07010103-707",S003-656
W09057001,S000-220,74050586,"07010103-707",S003-656
E57028001,S000-011,76957219,"09020104-544",S003-660
E20114001,,59332224,"07010206-539",S003-743
E20114001,,59332224,"07010206-539",S003-745
H20114002,S003-742,59332224,"07010206-539",S003-746
H14011001,,59331074,"07010108-534",S002-909
W80010002,S000-795,59342418,"09030009-501",S003-697
H80013001,S003-695,59342446,"09030009-529",S003-695
W16035004,,59331335,"07010202-503",S003-522
H36048001,S004-640,59335245,"07030004-511",S003-530
E66062001,,76797694,"09020305-646",S003-500
H12031001,,59330842,"07010106-537",S003-503
W33143005,S005-069,59334631,"07020012-505",S003-505
E66073001,S003-498,59341108,"09020305-539",S003-498
H18051001,S001-502,59331920,"07010204-585",S000-919
H18051004,S000-920,59331920,"07010204-585",S000-922
W19038001,,68226607,"07010205-638",S000-528
H19056001,S000-461,68226607,"07010205-638",S000-531
H39103002,S004-448,59335981,"07040002-542",S000-546
E56048001,,77131738,"09020103-768",S000-556
E69030001,S000-091,76958390,"09020311-560",S000-559
W03123003,,59328076,"04010201-553",S000-595
W38004004,,59335704,"07040001-518",S000-428
W25035001,S004-690,59333394,"07020004-587",S002-246
E37037001,,59335432,"07030005-540",S002-249
E39101001,S003-557,59335953,"07040002-515",S002-274
W07032001,,59329566,"07010101-526",S002-290
W07100002,,59329550,"07010101-510",S002-291
H51011001,S000-894,59339578,"07100001-501",S001-802
W51011002,S000-481,59339578,"07100001-501",S001-813
W18062003,,59332137,"07010204-506",S002-024
W07115004,S000-155,74022909,"07010101-754",S002-035
E40019001,,61899316,"07040003-F19",S001-825
H18062002,,59332137,"07010204-506",S001-828
H51011001,S000-894,59339578,"07100001-501",S001-834
H41067002,,68411373,"07040004-976",S001-478
E74043001,,59341972,"09030005-523",S001-496
H43067002,S001-320,59337911,"07040008-555",S001-320
W43071002,S001-322,59337919,"07040008-563",S001-322
E12043001,,59330814,"07010106-509",S001-325
H18011001,,59331891,"07010204-556",S001-507
H19001001,S001-255,59332383,"07010205-508",S001-512
H39055001,,59335955,"07040002-517",S001-338
W39055003,,59335955,"07040002-517",S001-343
H18011001,,59331891,"07010204-556",S001-540
E41063002,,59337248,"07040004-507",S001-351
H83011001,S006-606,77440919,"10170204-604",S001-360
H03001003,S001-169,59328271,"04010201-512",S001-372
H41050001,S001-572,59337293,"07040004-552",S001-572
E31051001,S000-163,59334057,"07020010-501",S001-574
W31051001,S000-163,59334057,"07020010-501",S001-574
H43003001,S004-850,59337876,"07040008-521",S001-575
W39044002,S000-449,59335941,"07040002-503",S001-584
H41061002,S007-956,59337277,"07040004-536",S001-399
E28073001,,76595464,"07020007-721",S000-342
E20088001,,77108555,"07010206-814",S000-345
E20088002,,77108555,"07010206-814",S000-345
E17001001,,74058025,"07010203-729",S000-221
E22010002,,76595422,"07020001-552",S000-233
W02006005,,59327470,"04010102-501",S000-252
H14027001,,59331041,"07010108-501",S000-282
W65052001,S002-980,77280682,"09020304-565",S002-980
H71035001,S003-094,59341412,"09020314-502",S003-094
W71005001,,59341411,"09020314-501",S003-096
W71022001,,59341411,"09020314-501",S003-096
E20095002,S005-017,77058283,"07010206-811",S000-077
H20114002,S003-742,59332224,"07010206-539",S000-080
W54023002,,59339947,"09020101-501",S000-089
W70030003,S003-103,59341061,"09020312-503",S002-999
W43058001,,59337908,"07040008-552",S003-388
W43058007,S006-307,59337908,"07040008-552",S003-388
W43044001,,59337979,"07040008-623",S003-393
W35070001,S000-121,59335091,"07030003-502",S000-121
W41006002,S005-741,68390251,"07040004-971",S000-033
E20088002,,77108555,"07010206-814",S000-133
E29001001,S001-918,59333826,"07020008-501",S000-139
W33146004,S006-102,59334631,"07020012-505",S000-005
H56105001,S002-000,59339756,"09020103-502",S000-006
W56105001,S002-000,59339756,"09020103-502",S000-006
W61046002,S000-008,76957467,"09020301-544",S000-008
E22022001,,59333041,"07020001-510",S000-158
H30028001,S003-024,59334241,"07020009-503",S000-161
E19082001,,59332383,"07010205-508",S000-165
W62041001,S000-389,59340855,"09020302-515",S000-387
H57026001,S002-097,76957219,"09020104-544",S000-392
H19062001,,59332385,"07010205-510",S000-394
W19049003,S000-352,59332385,"07010205-510",S000-394
W39088001,,59335953,"07040002-515",S000-507
W30025002,S009-555,59334254,"07020009-515",S000-522
H19062001,,59332385,"07010205-510",S000-349
W03001013,,59328271,"04010201-512",S003-070
W03001005,,59328271,"04010201-512",S003-070
E22022001,,59333041,"07020001-510",S003-083
H24020001,S003-084,59332884,"07020003-505",S003-085
H25151002,S002-320,77438650,"07020004-765",S002-339
W25141001,,77438650,"07020004-765",S002-342
H25151002,S002-320,77438650,"07020004-765",S002-335
H67011001,,76958387,"09020306-524",S002-325
W18033002,,59332142,"07010204-511",S002-293
H18023001,,59331874,"07010204-539",S002-299
E58056001,,59340164,"09020106-504",S002-710
H58056002,S005-608,59340164,"09020106-504",S002-710
W58056006,S004-147,59340164,"09020106-504",S002-710
E66035001,,76797826,"09020305-647",S002-916
E66035003,S003-174,76797826,"09020305-647",S002-916
W72047007,,76802762,"09030001-986",S002-764
H25088001,S002-318,77440564,"07020004-777",S002-318
H25151002,S002-320,77438650,"07020004-765",S002-320
W25132001,,77440648,"07020004-784",S002-323
H70021001,S007-588,59341062,"09020312-504",S002-368
E22079001,,59333596,"07020005-501",S002-966
H17011001,,59331692,"07010203-549",S002-713
W21091002,S012-569,59332551,"07010207-528",S003-205
W21091003,S003-204,59332551,"07010207-528",S003-205
W21091003,S003-204,59332551,"07010207-528",S003-204
W24035002,S008-466,76960170,"07020003-578",S003-376
H14036001,S002-903,59331051,"07010108-511",S004-072
W14036002,,59331051,"07010108-511",S004-072
E62031001,,59340861,"09020302-521",S003-956
E66035002,S009-370,76797826,"09020305-647",S003-959
W04045002,,59328839,"04010202-501",S003-968
W04048003,,59328839,"04010202-501",S003-968
W39024001,,59336028,"07040002-589",S001-436
W41089001,S001-485,68414862,"07040004-989",S001-486
H68019001,,72730665,"09020309-539",S004-106
H10065003,S001-994,59330660,"07010104-502",S002-378
E38026001,,59335692,"07040001-507",S002-418
W02035004,,59327477,"04010102-508",S001-267
W02035013,S008-810,59327477,"04010102-508",S001-267
W02035015,,59327477,"04010102-508",S001-267
W39019001,S001-582,59335947,"07040002-509",S001-280
H13011007,,59331274,"07010107-509",S000-989
W24037001,S003-676,59332880,"07020003-501",S001-110
E24023001,S003-087,59332880,"07020003-501",S001-112
H13011001,S000-987,59331273,"07010107-508",S001-002
H49007001,S004-113,59339145,"07080202-501",S001-011
H54017002,S001-029,59339948,"09020101-502",S001-052
W41063003,S007-955,59337248,"07040004-507",S001-022
W03001004,,59328271,"04010201-512",S001-169
W03001007,S007-977,59328271,"04010201-512",S001-169
W03001005,,59328271,"04010201-512",S001-169
W03001006,S007-978,59328271,"04010201-512",S001-169
W03001006,S007-978,59328271,"04010201-512",S001-172
H43072001,S001-318,77447637,"07040008-H19",S001-428
H16057001,S001-434,59331399,"07010202-565",S001-434
E56082006,,77131757,"09020103-772",S002-170
W26120001,,59333598,"07020005-503",S002-190
H26042008,S002-197,59333665,"07020005-567",S002-197
H26042001,S002-208,59333507,"07020005-904",S002-208
W32061001,,59334485,"07020011-535",S002-433
H32072001,S002-427,59334484,"07020011-534",S002-434
W28085001,,72847914,"07020007-676",S002-399
H09080001,S002-444,59330412,"07010103-514",S002-444
H30051001,S003-025,59334240,"07020009-502",S002-476
H30025001,S000-522,59334254,"07020009-515",S002-478
W02040002,,59327514,"04010102-545",S002-481
W02040010,,59327514,"04010102-545",S002-481
W02040011,,59327514,"04010102-545",S002-481
W02040012,S014-891,59327514,"04010102-545",S002-481
W17035002,,59556379,"07010203-700",S002-485
H39016001,S004-512,59335965,"07040002-526",S002-531
W39110001,,59335967,"07040002-528",S002-533
H39068002,,59336012,"07040002-573",S002-536
W33143005,S005-069,59334631,"07020012-505",S002-452
W33143006,S005-068,59334631,"07020012-505",S002-452
W38027006,,59335692,"07040001-507",S002-474
H38027010,,59335692,"07040001-507",S002-474
W38027011,,59335692,"07040001-507",S002-474
H03149002,S007-022,59328075,"04010201-552",S002-595
H09097001,,59330409,"07010103-512",S002-629
H09100001,S002-629,59330409,"07010103-512",S002-629
H14059001,,59331045,"07010108-505",S002-904
W14051001,S002-904,59331045,"07010108-505",S002-904
E14051001,S002-904,59331045,"07010108-505",S002-910
W14051004,,59331045,"07010108-505",S002-910
W15010001,S003-457,59331499,"07010201-528",S002-947
W16035004,,59331335,"07010202-503",S002-656
H17008002,S004-504,59331654,"07010203-511",S002-661
W17011004,S003-413,59331692,"07010203-549",S002-667
W32072002,,59334484,"07020011-534",S004-304
W38020003,,59335703,"07040001-517",S004-307
W71073001,,59341414,"09020314-504",S004-288
H80025001,S004-290,59342420,"09030009-503",S004-289
E21089001,,59332544,"07010207-521",S004-166
W02032003,,59327660,"04010102-698",S000-255
H36057001,S003-533,59334982,"07030004-567",S003-533
H39103003,S004-447,59335981,"07040002-542",S004-450
E03001001,,59328271,"04010201-512",S004-667
H03001011,,59328271,"04010201-512",S004-667
W03001013,,59328271,"04010201-512",S004-667
W03176002,,59328363,"04010201-879",S004-598
W03175004,,59328152,"04010201-629",S004-596
W03009002,,59328064,"04010201-541",S004-597
W03464011,S011-071,59328064,"04010201-541",S004-597
W03164026,,59328064,"04010201-541",S004-597
E23007001,S000-195,59333095,"07020002-501",S004-576
W23049002,S005-650,59333095,"07020002-501",S004-576
W23007002,,59333095,"07020002-501",S004-593
W23007004,S004-580,59333095,"07020002-501",S004-593
W27036002,,59333875,"07020006-521",S004-606
W17025002,S007-016,59331678,"07010203-535",S004-704
E20115005,,62514670,"07010206-801",S002-776
E68032002,,72746231,"09020309-543",S004-152
H39107002,,59336053,"07040002-614",S004-155
W02036002,,59327518,"04010102-549",S003-980
W02025010,,59327472,"04010102-503",S003-989
W02025013,,59327472,"04010102-503",S003-989
W02025017,,59327472,"04010102-503",S003-989
W02014004,,59327484,"04010102-515",S003-990
W02016004,,59327482,"04010102-513",S003-991
W02016005,,59327482,"04010102-513",S003-991
W02016006,,59327482,"04010102-513",S003-991
W02016012,,59327482,"04010102-513",S003-991
W31036001,,72465164,"07020010-564",S001-599
H13058001,S001-931,59331266,"07010107-501",S001-602
W41049002,,59337248,"07040004-507",S001-611
W38006003,,60171522,"07040001-708",S001-384
W10063001,S001-031,59330660,"07010104-502",S001-991
W25009001,S002-141,59333314,"07020004-508",S002-142
E25028001,,59333383,"07020004-576",S002-149
H56008001,S002-159,59339800,"09020103-546",S002-158
H10065003,S001-994,59330660,"07010104-502",S001-996
E20088002,,77108555,"07010206-814",S002-011
H19024001,S002-015,68420604,"07010205-658",S002-049
W33091002,,76721172,"07020012-834",S001-872
W63023002,S002-076,59340970,"09020303-509",S002-076
H67014002,S002-083,59341230,"09020306-507",S002-083
E65019001,S004-055,59340706,"09020304-504",S002-084
H51026001,S007-142,59339612,"07100001-533",S001-878
E66008004,S003-382,59340781,"09020305-517",S001-907
E57006001,,76957210,"09020104-543",S002-114
H57026001,S002-097,76957219,"09020104-544",S002-116
H39017001,S002-530,59335959,"07040002-520",S001-941
W39017004,,59335959,"07040002-520",S001-941
W18021002,,59332132,"07010204-502",S001-948
W18021003,,59332132,"07010204-502",S001-948
W40010002,,59336224,"07040003-533",S001-952
E66020001,,76801405,"09020305-649",S002-119
H12041001,,76152994,"07010106-721",S001-926
H39068001,,59336006,"07040002-567",S001-936
H36072005,S001-649,59334962,"07030004-547",S004-395
H36072007,S004-398,59334961,"07030004-546",S004-398
W16025004,S010-910,77121319,"07010202-727",S004-627
H16002001,,59331335,"07010202-503",S004-625
E20088001,,77108555,"07010206-814",S004-655
E20041001,S000-025,74058644,"07010206-805",S004-652
E20065001,,74058644,"07010206-805",S004-652
H12143001,,59330847,"07010106-542",S004-774
H12019001,S004-789,59330828,"07010106-523",S004-789
E17022001,,74053482,"07010203-728",S005-045
E20065001,,74058644,"07010206-805",S005-049
W01015010,,59327441,"04010101-D31",S004-277
W01015005,,59327441,"04010101-D31",S004-278
W01015005,,59327441,"04010101-D31",S004-853
W01015002,,59327441,"04010101-D31",S004-855
W01015004,,59327441,"04010101-D31",S004-855
W01015002,,59327441,"04010101-D31",S004-856
W01015006,S004-283,59327442,"04010101-D32",S004-283
H25037001,S002-012,59333394,"07020004-587",S004-690
E25047002,,77438738,"07020004-769",S004-698
H21067001,,59332541,"07010207-518",S004-980
E66008004,S003-382,59340781,"09020305-517",S004-994
W38006003,,60171522,"07040001-708",S004-859
W76021001,,59341953,"09030005-504",S004-873
W37062003,,59335411,"07030005-520",S004-719
W37062004,,59335479,"07030005-587",S004-726
W02036007,,59327518,"04010102-549",S004-731
H55033001,S003-104,77835404,"09020102-597",S004-739
H18075002,,59332294,"07010204-667",S002-020
W07115004,S000-155,74022909,"07010101-754",S002-617
W58005002,,59340485,"09020106-531",S005-060
W33143006,S005-068,59334631,"07020012-505",S005-070
W33122003,S004-109,59334631,"07020012-505",S005-069
W33124001,S005-070,59334631,"07020012-505",S005-069
W33143012,S000-310,59334631,"07020012-505",S005-069
H18051004,S000-920,59331920,"07010204-585",S005-330
W20110002,,59332190,"07010206-506",S005-332
E66022002,S005-284,76801406,"09020305-650",S005-284
H32076001,S003-860,59334456,"07020011-507",S005-310
E33143004,S000-MNR,59334631,"07020012-505",S005-281
W33122003,S004-109,59334631,"07020012-505",S005-281
W33116002,,59334842,"07020012-710",S004-963
W33116003,,59334842,"07020012-710",S004-963
W09058005,,76964952,"07010103-761",S005-420
W09058008,,76964952,"07010103-761",S005-420
W34030002,,59334946,"07030001-514",S005-534
H03155006,,59328075,"04010201-552",S005-752
E26038002,,59333657,"07020005-559",S005-915
H26038001,S002-201,59333657,"07020005-559",S005-915
H26003001,S002-190,59333598,"07020005-503",S006-022
W26120001,,59333598,"07020005-503",S006-022
H26003001,S002-190,59333598,"07020005-503",S006-027
W26099001,,59333598,"07020005-503",S006-027
W01015009,,59327441,"04010101-D31",S005-937
W01015010,,59327441,"04010101-D31",S005-937
H09002004,,59330211,"07010103-603",S005-777
H09052004,,76964935,"07010103-753",S005-778
H18016002,,59332309,"07010204-682",S005-852
W20106002,,59332192,"07010206-508",S005-818
H15029001,S005-384,77132156,"07010201-653",S005-384
H15029004,,77132156,"07010201-653",S005-384
W15029008,,77132156,"07010201-653",S005-384
W15031004,,77132156,"07010201-653",S005-384
H33120001,S005-377,76716512,"07020012-809",S005-377
E83016001,,59342762,"10170204-509",S005-381
H83016001,S005-381,59342762,"10170204-509",S005-381
W83016003,S000-014,59342762,"10170204-509",S005-381
W41029004,,59337251,"07040004-510",S005-362
H23015001,S004-578,59332842,"07020002-556",S004-574
W23015002,,59332842,"07020002-556",S004-942
E09064001,S003-656,74050586,"07010103-707",S005-577
E17022001,,74053482,"07010203-728",S005-580
H03001001,S003-071,59328271,"04010201-512",S005-487
H03001003,S001-169,59328271,"04010201-512",S005-487
W03001004,,59328271,"04010201-512",S005-487
W03001005,,59328271,"04010201-512",S005-487
W03001006,S007-978,59328271,"04010201-512",S005-487
H02037005,S004-950,59327509,"04010102-540",S005-488
E33123001,,76716610,"07020012-811",S005-414
E33123001,,76716610,"07020012-811",S005-407
W41065001,S016-403,68414907,"07040004-991",S005-421
W02039010,,59327512,"04010102-543",S005-546
W02039011,,59327512,"04010102-543",S005-546
H02039003,,59327512,"04010102-543",S005-546
H02039005,,59327512,"04010102-543",S005-546
H58049001,S005-609,59340510,"09020106-556",S005-609
W58002003,S007-455,77126360,"09020106-610",S005-611
H05016001,S005-619,64387678,"04010301-757",S005-618
H37004001,,59335476,"07030005-584",S005-532
H01022001,S000-251,59326178,"04010101-502",S005-459
W01022002,,59326178,"04010101-502",S005-459
W36003001,,59335242,"07030004-508",S005-595
E33027001,,76721930,"07020012-842",S004-617
H39107003,,59336052,"07040002-613",S005-439
H26030001,S005-633,59333652,"07020005-554",S005-633
H09100002,S001-578,59330409,"07010103-512",S003-305
W42005001,S004-024,59337419,"07040006-511",S004-024
H12047001,S002-961,59330823,"07010106-518",S004-037
H65019002,S004-047,59340706,"09020304-504",S004-047
W66080001,S003-318,59341119,"09020305-550",S004-051
H38027002,S003-326,59335703,"07040001-517",S003-326
H15028001,S004-063,59331481,"07010201-511",S004-063
H15028002,,59331481,"07010201-511",S004-063
H15029001,S005-384,77132156,"07010201-653",S004-061
H15031001,S004-061,77132156,"07010201-653",S004-061
W15029008,,77132156,"07010201-653",S004-061
W15029009,S004-341,77132156,"07010201-653",S004-061
W18023004,,59331874,"07010204-539",S004-242
H15017001,,59757239,"07010201-628",S004-269
H15005001,,59331496,"07010201-525",S004-238
W15016001,S004-238,59331496,"07010201-525",S004-238
H17008001,S001-929,59331654,"07010203-511",S004-504
W55014001,,59340017,"09020102-506",S004-355
H39043001,,59335958,"07040002-519",S004-366
E20093001,,59332224,"07010206-539",S004-370
E20114001,,59332224,"07010206-539",S004-371
H37062004,,59335411,"07030005-520",S004-457
H37053001,,59335415,"07030005-524",S004-466
E40006001,S000-096,59336319,"07040003-627",S005-058
W65010001,,59340711,"09020304-509",S004-966
W02040011,,59327514,"04010102-545",S004-953
W02060003,,59327470,"04010102-501",S004-955
W02007009,S007-356,59327470,"04010102-501",S004-955
W33137001,,59334640,"07020012-513",S004-912
H12060001,,59330863,"07010106-558",S004-793
W12030013,,59330863,"07010106-558",S004-793
W38025007,,59335598,"07040001-692",S002-420
H38025004,,59335598,"07040001-692",S004-312
W58002002,S004-998,77126360,"09020106-610",S004-998
E38009001,,59335717,"07040001-531",S005-178
W43069001,,59337953,"07040008-597",S005-074
H38020002,,59335702,"07040001-516",S005-100
W38019006,,59335713,"07040001-527",S005-105
H49007001,S004-113,59339145,"07080202-501",S005-117
W49009002,,59339145,"07080202-501",S005-117
H04048001,S005-147,59328839,"04010202-501",S005-147
W04042002,,59328839,"04010202-501",S005-147
W56074003,,59339780,"09020103-526",S005-137
E56050001,S005-142,77131788,"09020103-773",S005-142
W33143005,S005-069,59334631,"07020012-505",S005-129
H18012001,S001-972,59332308,"07010204-681",S001-967
E61027002,,59340803,"09020301-536",S003-130
H30046002,S009-144,59334292,"07020009-553",S005-358
E20062001,,59332215,"07010206-530",S005-398
E20064001,,59332215,"07010206-530",S005-398
W02038027,,59327510,"04010102-541",S005-400
E10082002,,74051199,"07010104-656",S005-574
W17035002,,59556379,"07010203-700",S005-582
H03145002,,59328110,"04010201-587",S005-767
W32053001,,77447623,"07020011-669",S005-466
W02035004,,59327477,"04010102-508",S005-468
W02035006,,59327477,"04010102-508",S005-468
W02035016,,59327477,"04010102-508",S005-468
H18075001,,59332294,"07010204-667",S005-836
H18086001,,59331877,"07010204-542",S005-835
L11030500,,59330807,"07010106-502",S005-799
H26019002,,59333611,"07020005-515",S006-010
H26019001,,59333611,"07020005-515",S006-008
