"WISKI_STATION_NO","WISKI_EQUIS_ID","WU_SYS_ID","WID","EQUIS_STATION_ID"
E03147001,,59328075,"04010201-552",S002-595
H03155002,,59328075,"04010201-552",S002-595
H03155004,,59328075,"04010201-552",S002-595
H72098001,,59341282,"09030001-603",S002-759
H10065003,S001-994,59330660,"07010104-502",S002-646
H16038001,S000-373,59331340,"07010202-507",S002-655
W14027003,,59331042,"07010108-502",S002-900
W14059003,,59331045,"07010108-505",S002-904
H14005004,,59331060,"07010108-520",S002-907
W14059003,,59331045,"07010108-505",S002-910
H16035003,S004-625,59331335,"07010202-503",S002-656
H16035002,S003-522,59331335,"07010202-503",S002-656
W17008005,,59331654,"07010203-511",S002-661
W76027001,,59341951,"09030005-502",S002-555
E20088001,,77108555,"07010206-814",S004-276
W43096002,S014-512,59337987,"07040008-631",S004-287
W27025001,S014-365,59333857,"07020006-503",S004-299
W38020005,,59335703,"07040001-517",S004-307
W36061005,S007-150,59335240,"07030004-506",S004-317
E20115005,,62514670,"07010206-801",S004-318
H71037001,,59341411,"09020314-501",S004-297
E71041001,,59341418,"09020314-508",S004-298
H71038001,S003-097,59341418,"09020314-508",S004-298
W41051003,S006-491,59337280,"07040004-539",S004-324
W41052001,,59337280,"07040004-539",S004-324
W73014001,S008-431,59341866,"09030002-530",S004-665
H03001001,S003-071,59328271,"04010201-512",S004-667
W24039002,S003-674,59332894,"07020003-515",S004-556
E03013002,,59328085,"04010201-562",S004-594
W03175009,S007-054,59328152,"04010201-629",S004-596
W03173003,,59328064,"04010201-541",S004-597
W03173004,,59328064,"04010201-541",S004-597
W03164005,,59328064,"04010201-541",S004-597
W03173006,,59328064,"04010201-541",S004-597
W23007003,S000-195,59333095,"07020002-501",S004-579
H23049001,,59333095,"07020002-501",S004-571
H23049001,,59333095,"07020002-501",S004-593
H03174004,,59328276,"04010201-517",S003-973
W02033002,,59327518,"04010102-549",S003-980
W02025006,,59327472,"04010102-503",S003-989
W02025015,,59327472,"04010102-503",S003-989
W02015004,,59327523,"04010102-554",S003-979
W02015005,,59327523,"04010102-554",S003-979
W02016016,,59327482,"04010102-513",S003-991
W76086001,,59341971,"09030005-522",S003-999
E20062001,,59332215,"07010206-530",S003-994
W28022001,,72896042,"07020007-689",S001-408
W46018001,S008-438,59339273,"07060002-509",S001-413
W31054001,,72465164,"07020010-564",S001-599
W38006004,,60171522,"07040001-708",S001-384
E56081001,,59339800,"09020103-546",S002-160
H10065002,S001-996,59330660,"07010104-502",S001-996
W10063001,S001-031,59330660,"07010104-502",S001-996
L56094500,,59339760,"09020103-506",S002-003
E20088001,,77108555,"07010206-814",S002-011
H56082001,,77706558,"09020103-780",S002-167
W56082007,S002-169,77706558,"09020103-780",S002-167
W15017005,S004-273,59331503,"07010201-532",S002-054
W24046001,S004-557,59332898,"07020003-519",S002-061
W26021001,,59333678,"07020005-580",S001-852
E63023001,,59340970,"09020303-509",S002-076
E65014002,S002-079,59340703,"09020304-501",S002-079
E63057001,,59340967,"09020303-506",S002-080
W71049003,S002-105,59341415,"09020314-505",S002-106
W58002003,S007-455,77126360,"09020106-610",S002-111
W61044001,S000-562,76957467,"09020301-544",S002-113
W79001002,,77129904,"09030008-561",S001-961
E20088002,,77108555,"07010206-814",S001-963
E20088003,,77108555,"07010206-814",S001-963
E66050001,S002-118,59340764,"09020305-501",S002-118
E66021001,,76801414,"09020305-653",S001-911
E66021002,S001-460,76801414,"09020305-653",S001-911
H12039001,S001-926,76152994,"07010106-721",S001-926
H17008001,S001-929,59331654,"07010203-511",S001-929
W39007002,S002-528,77222348,"07040002-739",S004-388
H36072004,S004-396,59334962,"07030004-547",S004-395
H16002002,,59331335,"07010202-503",S004-625
W16058003,,59331332,"07010202-501",S004-621
W20056001,S000-025,74058644,"07010206-805",S004-652
H43003001,S004-850,59337876,"07040008-521",S004-850
W43016001,,59337876,"07040008-521",S004-850
W38034007,,60170390,"07040001-707",S002-422
H12030009,,59330863,"07010106-558",S004-788
W12030010,,59330863,"07010106-558",S004-788
W12030012,,59330863,"07010106-558",S004-788
W12030013,,59330863,"07010106-558",S004-788
W12030014,,59330863,"07010106-558",S004-788
H19024001,S002-015,68420604,"07010205-658",S004-753
E20088003,,77108555,"07010206-814",S005-052
W01015005,,59327441,"04010101-D31",S004-235
W01015004,,59327441,"04010101-D31",S004-277
W01015007,,59327441,"04010101-D31",S004-278
W01015002,,59327441,"04010101-D31",S004-853
W01015010,,59327441,"04010101-D31",S004-853
W01015007,,59327441,"04010101-D31",S004-855
W01015010,,59327441,"04010101-D31",S004-855
H25007001,S002-140,59333314,"07020004-508",S004-689
E66008004,S003-382,59340781,"09020305-517",S004-989
E41050001,,59337293,"07040004-552",S004-800
W43080002,,59337891,"07040008-536",S004-828
W32026001,,59334466,"07020011-516",S004-836
H15026001,,59331548,"07010201-577",S005-004
W38003001,,60171522,"07040001-708",S004-859
W38003004,S001-385,60171522,"07040001-708",S004-859
H37062002,,59335411,"07030005-520",S004-719
H37062004,,59335411,"07030005-520",S004-719
H02036003,S007-814,59327518,"04010102-549",S004-731
W02036002,,59327518,"04010102-549",S004-731
E07115001,S002-034,74022909,"07010101-754",S002-615
W58005001,S011-041,59340485,"09020106-531",S005-060
W58005005,S014-534,59340485,"09020106-531",S005-062
W33119001,S005-129,59334631,"07020012-505",S005-070
W33143006,S005-068,59334631,"07020012-505",S005-069
W03163014,,77221720,"04010201-B04",S004-958
H32079001,S003-448,59334456,"07020011-507",S005-317
W32061001,,59334485,"07020011-535",S005-311
H16036002,S014-892,59331335,"07010202-503",S005-302
H16035002,S003-522,59331335,"07010202-503",S005-302
E16036003,S004-625,59331335,"07010202-503",S005-304
W33124001,S005-070,59334631,"07020012-505",S005-281
W33143006,S005-068,59334631,"07020012-505",S005-281
W09058013,,76964952,"07010103-761",S005-420
W48013001,,59339052,"07080201-518",S005-614
H80017001,,59342421,"09030009-504",S005-678
H80017002,,59342421,"09030009-504",S005-678
W80017004,S010-265,59342421,"09030009-504",S005-678
